"Period"	"Cattle"	"Cattle"	"Sheep"	"Sheep"	"Goat"	"Goat"	"Sheep·Goat"	"Sheep·Goat"	"Pig"	"Pig"	"Fish"	"Chicken"	"Duck"	"Milk"	"Egg"	"Egg"
"Period"	"Number slaughtered (thou. No.)"	"Beef production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Mutton production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Meat production (thou. Viss)"	"Number slaughtered"	"Mutton production"	"Number slaughtered (thou. No.)"	"Pork production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"production (thou. Viss)"	"Hen Egg (thou. No.)"	"Duck Egg (thou. No.)"
"2012. 03"	"7609"	"761"	"8644"	"86"	"14163"	"142"	"-"	"-"	"31274"	"1564"	"14318"	"1694"	"32"	"-"	"-"	"-"
"2012. 04"	"6632"	"663"	"7854"	"79"	"11887"	"119"	"-"	"-"	"26312"	"1316"	"13192"	"1777"	"28"	"-"	"-"	"-"
"2012. 05"	"9674"	"967"	"10209"	"102"	"11699"	"117"	"-"	"-"	"30923"	"1546"	"13461"	"1948"	"29"	"-"	"-"	"-"
"2012. 06"	"10011"	"1001"	"9386"	"94"	"10826"	"108"	"-"	"-"	"29901"	"1495"	"11157"	"1801"	"34"	"-"	"-"	"-"
"2012. 07"	"9659"	"966"	"10635"	"106"	"10233"	"102"	"-"	"-"	"30828"	"1541"	"10219"	"1890"	"41"	"-"	"-"	"-"
"2012. 08"	"10631"	"1063"	"9148"	"91"	"10147"	"101"	"-"	"-"	"29935"	"1497"	"11940"	"1767"	"44"	"-"	"-"	"-"
"2012. 09"	"9853"	"985"	"7474"	"75"	"10048"	"100"	"-"	"-"	"30752"	"1538"	"12042"	"1820"	"38"	"-"	"-"	"-"
"2013. 01"	"158"	"14226"	"-"	"-"	"-"	"-"	"444"	"2661"	"962"	"33653"	"250396"	"59424"	"5835"	"92908"	"684089"	"66036"
"2013. 02"	"156"	"14052"	"-"	"-"	"-"	"-"	"443"	"2658"	"1011"	"35386"	"257533"	"62237"	"5160"	"93196"	"697265"	"59453"
"2013. 03"	"170"	"15269"	"-"	"-"	"-"	"-"	"444"	"2665"	"1055"	"36938"	"245228"	"65802"	"6928"	"109119"	"760675"	"78345"
"2013. 04"	"164"	"14738"	"-"	"-"	"-"	"-"	"488"	"2928"	"1039"	"36382"	"158753"	"62677"	"5833"	"96697"	"722922"	"69351"
"2013. 05"	"171"	"15365"	"-"	"-"	"-"	"-"	"485"	"2908"	"1015"	"35535"	"217515"	"61602"	"5939"	"96757"	"697939"	"70336"
"2013. 06"	"171"	"15417"	"-"	"-"	"-"	"-"	"494"	"2963"	"1098"	"38433"	"198156"	"65009"	"6340"	"99473"	"735575"	"72052"
"2013. 07"	"168"	"15126"	"-"	"-"	"-"	"-"	"489"	"2931"	"1050"	"36755"	"216260"	"61767"	"5765"	"96380"	"710198"	"68490"
"2013. 08"	"166"	"14971"	"-"	"-"	"-"	"-"	"488"	"2929"	"1058"	"37017"	"242368"	"64162"	"5810"	"96911"	"715321"	"68127"
"2013. 09"	"168"	"15078"	"-"	"-"	"-"	"-"	"492"	"2950"	"1067"	"37332"	"312900"	"60424"	"6125"	"97356"	"716202"	"73366"
"2013. 10"	"173"	"15573"	"-"	"-"	"-"	"-"	"526"	"3154"	"1124"	"39341"	"324244"	"67804"	"6228"	"109997"	"795241"	"72129"
"2013. 11"	"183"	"16430"	"-"	"-"	"-"	"-"	"502"	"3012"	"1182"	"41362"	"318961"	"68129"	"6062"	"100997"	"767103"	"72215"
"2013. 12"	"160"	"14432"	"-"	"-"	"-"	"-"	"548"	"3286"	"1086"	"37993"	"297499"	"64978"	"6163"	"98313"	"759230"	"71237"
"2014. 01"	"172"	"15473"	"-"	"-"	"-"	"-"	"491"	"2943"	"1106"	"38716"	"263135"	"68793"	"6607"	"102902"	"759473"	"78510"
"2014. 02"	"176"	"15845"	"-"	"-"	"-"	"-"	"489"	"2936"	"986"	"34493"	"267486"	"67047"	"6613"	"100628"	"746523"	"77478"
"2014. 03"	"187"	"16834"	"-"	"-"	"-"	"-"	"460"	"2757"	"1164"	"40748"	"256844"	"65612"	"7039"	"108959"	"789100"	"82723"
"2014. 04"	"187"	"16800"	"-"	"-"	"-"	"-"	"557"	"3341"	"1161"	"40650"	"174670"	"69930"	"6587"	"110497"	"803908"	"77743"
"2014. 05"	"179"	"16119"	"-"	"-"	"-"	"-"	"561"	"3363"	"1177"	"41183"	"223995"	"70268"	"6716"	"105467"	"759735"	"78950"
"2014. 06"	"188"	"16919"	"-"	"-"	"-"	"-"	"574"	"3445"	"1112"	"38908"	"231572"	"69080"	"6306"	"111359"	"837722"	"72977"
"2014. 07"	"183"	"16473"	"-"	"-"	"-"	"-"	"531"	"3185"	"1200"	"42017"	"227055"	"68649"	"7528"	"106730"	"792443"	"72371"
"2014. 08"	"185"	"16621"	"-"	"-"	"-"	"-"	"549"	"3295"	"1086"	"38020"	"268393"	"67469"	"6814"	"109326"	"759361"	"73028"
"2014. 09"	"182"	"16343"	"-"	"-"	"-"	"-"	"532"	"3190"	"1167"	"40838"	"317021"	"62406"	"7507"	"108495"	"779354"	"79710"
"2014. 10"	"185"	"16642"	"-"	"-"	"-"	"-"	"608"	"3645"	"1232"	"43121"	"318014"	"73978"	"6175"	"111236"	"806774"	"80414"
"2014. 11"	"193"	"17337"	"-"	"-"	"-"	"-"	"578"	"3465"	"1650"	"57763"	"335242"	"75536"	"6483"	"114616"	"834934"	"78985"
"2014. 12"	"181"	"16313"	"-"	"-"	"-"	"-"	"612"	"3672"	"1156"	"40473"	"324949"	"71428"	"6442"	"114196"	"821755"	"80163"
"2015. 01"	"196"	"17640"	"-"	"-"	"-"	"-"	"577"	"3462"	"1303"	"45591"	"259048"	"74151"	"6444"	"106835"	"846417"	"79294"
"2015. 02"	"188"	"16911"	"-"	"-"	"-"	"-"	"555"	"3329"	"1157"	"40496"	"286195"	"71239"	"5764"	"113215"	"828794"	"76051"
"2015. 03"	"184"	"16553"	"-"	"-"	"-"	"-"	"541"	"3244"	"1125"	"39387"	"272262"	"76616"	"6236"	"113771"	"819482"	"84102"
"2015. 04"	"203"	"18307"	"-"	"-"	"-"	"-"	"646"	"3874"	"1230"	"43042"	"181720"	"76180"	"6901"	"120248"	"854521"	"80860"
"2015. 05"	"200"	"18012"	"-"	"-"	"-"	"-"	"654"	"3922"	"1285"	"44972"	"231368"	"74033"	"7141"	"119398"	"839514"	"81139"
"2015. 06"	"200"	"18033"	"-"	"-"	"-"	"-"	"644"	"3861"	"1262"	"44170"	"229451"	"75777"	"7365"	"120318"	"876564"	"83902"
"2015. 07"	"205"	"18444"	"-"	"-"	"-"	"-"	"626"	"3756"	"1196"	"41873"	"241135"	"76395"	"7001"	"126333"	"878664"	"74263"
"2015. 08"	"198"	"17857"	"-"	"-"	"-"	"-"	"632"	"3791"	"1322"	"46261"	"288482"	"74583"	"6378"	"112244"	"853549"	"76465"
"2015. 09"	"197"	"17752"	"-"	"-"	"-"	"-"	"699"	"4193"	"1210"	"42336"	"326997"	"72469"	"6493"	"116235"	"828922"	"67760"
"2015. 10"	"204"	"18336"	"-"	"-"	"-"	"-"	"632"	"3789"	"1226"	"42898"	"343374"	"73965"	"7070"	"119436"	"849712"	"90490"
"2015. 11"	"207"	"18665"	"-"	"-"	"-"	"-"	"642"	"3853"	"1293"	"45243"	"356047"	"84439"	"6437"	"122576"	"870249"	"84216"
"2015. 12"	"204"	"18360"	"745"	"-"	"-"	"-"	"745"	"4469"	"1281"	"44843"	"337866"	"72919"	"7210"	"118796"	"855504"	"87054"
"2016. 01"	"213"	"19179"	"636"	"-"	"-"	"-"	"636"	"3816"	"1299"	"45472"	"287320"	"82346"	"6688"	"124438"	"947726"	"89691"
"2016. 02"	"210"	"18899"	"648"	"-"	"-"	"-"	"648"	"3885"	"1348"	"47172"	"302571"	"81648"	"6549"	"122359"	"905389"	"87691"
"2016. 03"	"206"	"18533"	"718"	"-"	"-"	"-"	"718"	"4308"	"1312"	"45911"	"279867"	"76772"	"7160"	"132664"	"952651"	"93421"
"2016. 04"	"214"	"19231"	"673"	"-"	"-"	"-"	"673"	"4037"	"1309"	"45801"	"191625"	"79812"	"7398"	"125276"	"915496"	"90939"
"2016. 05"	"211"	"19011"	"664"	"-"	"-"	"-"	"664"	"3982"	"1336"	"46743"	"247215"	"79395"	"6330"	"125258"	"889020"	"85179"
"2016. 06"	"210"	"18857"	"668"	"-"	"-"	"-"	"668"	"4005"	"1301"	"45539"	"235434"	"78994"	"8893"	"124834"	"913884"	"89922"
